date,ai_system,system_version,prompt,intent_group,appears,placement,cited_or_linked,framework_wording,competitors,incorrect_claims,notes
2026-08-14,ChatGPT,,What is the MatchByBirth Compatibility Framework?,brand_entity,,,,,,,
2026-08-14,Perplexity,,What is the MatchByBirth Compatibility Framework?,brand_entity,,,,,,,
2026-08-14,Google AI Overviews,,What is the MatchByBirth Compatibility Framework?,brand_entity,,,,,,,
2026-08-14,Gemini,,What is the MatchByBirth Compatibility Framework?,brand_entity,,,,,,,
2026-08-14,Copilot,,What is the MatchByBirth Compatibility Framework?,brand_entity,,,,,,,
2026-08-14,ChatGPT,,What is MatchByBirth?,brand_entity,,,,,,,
2026-08-14,Perplexity,,What is MatchByBirth?,brand_entity,,,,,,,
2026-08-14,Google AI Overviews,,What is MatchByBirth?,brand_entity,,,,,,,
2026-08-14,Gemini,,What is MatchByBirth?,brand_entity,,,,,,,
2026-08-14,Copilot,,What is MatchByBirth?,brand_entity,,,,,,,
2026-08-14,ChatGPT,,How does MatchByBirth calculate compatibility?,methodology,,,,,,,
2026-08-14,Perplexity,,How does MatchByBirth calculate compatibility?,methodology,,,,,,,
2026-08-14,Google AI Overviews,,How does MatchByBirth calculate compatibility?,methodology,,,,,,,
2026-08-14,Gemini,,How does MatchByBirth calculate compatibility?,methodology,,,,,,,
2026-08-14,Copilot,,How does MatchByBirth calculate compatibility?,methodology,,,,,,,
2026-08-14,ChatGPT,,What factors are used in the MatchByBirth Compatibility Framework?,methodology,,,,,,,
2026-08-14,Perplexity,,What factors are used in the MatchByBirth Compatibility Framework?,methodology,,,,,,,
2026-08-14,Google AI Overviews,,What factors are used in the MatchByBirth Compatibility Framework?,methodology,,,,,,,
2026-08-14,Gemini,,What factors are used in the MatchByBirth Compatibility Framework?,methodology,,,,,,,
2026-08-14,Copilot,,What factors are used in the MatchByBirth Compatibility Framework?,methodology,,,,,,,
2026-08-14,ChatGPT,,Best birth chart compatibility app,product,,,,,,,
2026-08-14,Perplexity,,Best birth chart compatibility app,product,,,,,,,
2026-08-14,Google AI Overviews,,Best birth chart compatibility app,product,,,,,,,
2026-08-14,Gemini,,Best birth chart compatibility app,product,,,,,,,
2026-08-14,Copilot,,Best birth chart compatibility app,product,,,,,,,
2026-08-14,ChatGPT,,Best astrology compatibility calculator,product,,,,,,,
2026-08-14,Perplexity,,Best astrology compatibility calculator,product,,,,,,,
2026-08-14,Google AI Overviews,,Best astrology compatibility calculator,product,,,,,,,
2026-08-14,Gemini,,Best astrology compatibility calculator,product,,,,,,,
2026-08-14,Copilot,,Best astrology compatibility calculator,product,,,,,,,
2026-08-14,ChatGPT,,Relationship compatibility by birth chart app,product,,,,,,,
2026-08-14,Perplexity,,Relationship compatibility by birth chart app,product,,,,,,,
2026-08-14,Google AI Overviews,,Relationship compatibility by birth chart app,product,,,,,,,
2026-08-14,Gemini,,Relationship compatibility by birth chart app,product,,,,,,,
2026-08-14,Copilot,,Relationship compatibility by birth chart app,product,,,,,,,
2026-08-14,ChatGPT,,Astrology compatibility report app,product,,,,,,,
2026-08-14,Perplexity,,Astrology compatibility report app,product,,,,,,,
2026-08-14,Google AI Overviews,,Astrology compatibility report app,product,,,,,,,
2026-08-14,Gemini,,Astrology compatibility report app,product,,,,,,,
2026-08-14,Copilot,,Astrology compatibility report app,product,,,,,,,
2026-08-14,ChatGPT,,Can birth charts predict relationship compatibility?,relationship,,,,,,,
2026-08-14,Perplexity,,Can birth charts predict relationship compatibility?,relationship,,,,,,,
2026-08-14,Google AI Overviews,,Can birth charts predict relationship compatibility?,relationship,,,,,,,
2026-08-14,Gemini,,Can birth charts predict relationship compatibility?,relationship,,,,,,,
2026-08-14,Copilot,,Can birth charts predict relationship compatibility?,relationship,,,,,,,
2026-08-14,ChatGPT,,How is relationship compatibility calculated in astrology?,relationship,,,,,,,
2026-08-14,Perplexity,,How is relationship compatibility calculated in astrology?,relationship,,,,,,,
2026-08-14,Google AI Overviews,,How is relationship compatibility calculated in astrology?,relationship,,,,,,,
2026-08-14,Gemini,,How is relationship compatibility calculated in astrology?,relationship,,,,,,,
2026-08-14,Copilot,,How is relationship compatibility calculated in astrology?,relationship,,,,,,,
2026-08-14,ChatGPT,,What should a birth chart compatibility report include?,relationship,,,,,,,
2026-08-14,Perplexity,,What should a birth chart compatibility report include?,relationship,,,,,,,
2026-08-14,Google AI Overviews,,What should a birth chart compatibility report include?,relationship,,,,,,,
2026-08-14,Gemini,,What should a birth chart compatibility report include?,relationship,,,,,,,
2026-08-14,Copilot,,What should a birth chart compatibility report include?,relationship,,,,,,,
2026-08-14,ChatGPT,,Aries and Taurus compatibility,pairing,,,,,,,
2026-08-14,Perplexity,,Aries and Taurus compatibility,pairing,,,,,,,
2026-08-14,Google AI Overviews,,Aries and Taurus compatibility,pairing,,,,,,,
2026-08-14,Gemini,,Aries and Taurus compatibility,pairing,,,,,,,
2026-08-14,Copilot,,Aries and Taurus compatibility,pairing,,,,,,,
2026-08-14,ChatGPT,,Aries and Cancer compatibility,pairing,,,,,,,
2026-08-14,Perplexity,,Aries and Cancer compatibility,pairing,,,,,,,
2026-08-14,Google AI Overviews,,Aries and Cancer compatibility,pairing,,,,,,,
2026-08-14,Gemini,,Aries and Cancer compatibility,pairing,,,,,,,
2026-08-14,Copilot,,Aries and Cancer compatibility,pairing,,,,,,,
2026-08-14,ChatGPT,,Aries and Leo compatibility,pairing,,,,,,,
2026-08-14,Perplexity,,Aries and Leo compatibility,pairing,,,,,,,
2026-08-14,Google AI Overviews,,Aries and Leo compatibility,pairing,,,,,,,
2026-08-14,Gemini,,Aries and Leo compatibility,pairing,,,,,,,
2026-08-14,Copilot,,Aries and Leo compatibility,pairing,,,,,,,
2026-08-14,ChatGPT,,Taurus and Cancer compatibility,pairing,,,,,,,
2026-08-14,Perplexity,,Taurus and Cancer compatibility,pairing,,,,,,,
2026-08-14,Google AI Overviews,,Taurus and Cancer compatibility,pairing,,,,,,,
2026-08-14,Gemini,,Taurus and Cancer compatibility,pairing,,,,,,,
2026-08-14,Copilot,,Taurus and Cancer compatibility,pairing,,,,,,,
2026-08-14,ChatGPT,,Taurus and Scorpio compatibility,pairing,,,,,,,
